Curs,Estudi,Codi àrea territorial,Àrea territorial,Codi comarca,Comarca,Codi municipi,Municipi,Codi districte,Districte,Naturalesa,Titularitat,Nivell,Sexe,Concert,Resultat de l'avaluació,Alumnes avaluats
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,2,HOME,,NO PROMOCIONEN,6
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,2,HOME,,PROMOCIONEN AMB PENDENTS,85
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,2,HOME,,PROMOCIONEN SENSE PENDENTS,112
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,3,DONA,,NO PROMOCIONEN,12
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,3,DONA,,PROMOCIONEN AMB PENDENTS,67
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,3,DONA,,PROMOCIONEN SENSE PENDENTS,86
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,3,HOME,,NO PROMOCIONEN,9
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,3,HOME,,PROMOCIONEN AMB PENDENTS,100
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,3,HOME,,PROMOCIONEN SENSE PENDENTS,90
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,4,DONA,,NO PROMOCIONEN,26
