"Codi municipi","Municipi","Codi Districte BCN","Nom Districte BCN","Codi Àrea Territorial","Àrea Territorial","Codi comarca","Comarca","Disp Canvi Cicle Lliurats","Disp Alta Complexitat Lliurats","Disp Altres Lliurats","Mifi Canvi Cicle Lliurats","Mifi Alta Complexitat Lliurats","Mifi Altres Lliurats","Disp total lliurats","Mifi total lliurats"
"082917","Vacarisses",,,"0408","Vallès Occidental","40","Vallès Occidental","0","0","4","0","0","6","4","6"
"082922","Vallbona d'Anoia",,,"1060","Catalunya Central","06","Anoia","0","0","0","0","0","1","0","1"
"082938","Vallcebre",,,"1060","Catalunya Central","14","Berguedà","1","0","0","1","0","0","1","1"
"082943","Vallgorguina",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","0","0","3","0","0","1","3","1"
"082956","Vallirana",,,"0308","Baix Llobregat","11","Baix Llobregat","5","0","24","1","0","18","29","19"
"082969","Vallromanes",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","1","0","2","1","0","0","3","1"
"082981","Vic",,,"1060","Catalunya Central","24","Osona","101","48","76","88","40","73","225","201"
"083008","Viladecavalls",,,"0408","Vallès Occidental","40","Vallès Occidental","4","0","1","3","0","0","5","3"
"083015","Viladecans",,,"0308","Baix Llobregat","11","Baix Llobregat","69","15","168","36","2","73","252","111"
"083020","Vilanova del Camí",,,"1060","Catalunya Central","06","Anoia","10","0","8","8","0","7","18","15"
"083054","Vilafranca del Penedès",,,"0208","Barcelona Comarques","03","Alt Penedès","49","20","59","44","12","36","128","92"
"083067","Vilalba Sasserra",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","1","0","6","1","0","5","7","6"
"083073","Vilanova i la Geltrú",,,"0208","Barcelona Comarques","17","Garraf","93","0","68","75","0","33","161","108"
"089024","Vilanova del Vallès",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","4","0","14","2","0","8","18","10"
"089045","Badia del Vallès",,,"0408","Vallès Occidental","40","Vallès Occidental","47","66","18","30","52","15","131","97"
"089058","La Palma de Cervelló",,,"0308","Baix Llobregat","11","Baix Llobregat","4","0","1","4","0","1","5","5"
"170010","Agullana",,,"0117","Girona","02","Alt Empordà","1","0","0","1","0","0","1","1"
