SSTT;Comarca;Municipi;Districte codi;Naturalesa;Concert;Estudis codi;Nivell;Avaluats;Sexe;N Avaluats
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;3;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;5
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;3;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;1
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;3;PROMOCIÓ AMB PENDENTS;DONA;4
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;3;PROMOCIÓ AMB PENDENTS;HOME;15
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;4;EXPEDICIÓ DEL CERTIFICAT;HOME;1
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;4;HAN DE REPETIR;DONA;1
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;4;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;22
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;4;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;11
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;4;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;4
BAIX LLOBREGAT;BAIX LLOBREGAT;BEGUES;0802000;PÚBLIC;NO;ESO;4;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;1
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;1;HAN DE REPETIR;HOME;4
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;1;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;56
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;1;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;53
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;1;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;5
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;1;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;6
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;1;PROMOCIÓ AMB PENDENTS;DONA;11
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;1;PROMOCIÓ AMB PENDENTS;HOME;11
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;2;HAN DE REPETIR;HOME;3
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;2;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;59
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;2;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;49
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;2;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;3
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;2;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;8
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;2;PROMOCIÓ AMB PENDENTS;DONA;13
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;2;PROMOCIÓ AMB PENDENTS;HOME;22
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;3;HAN DE REPETIR;HOME;3
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;3;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;51
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;3;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;46
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;3;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;3
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;3;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;5
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;3;PROMOCIÓ AMB PENDENTS;DONA;17
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;3;PROMOCIÓ AMB PENDENTS;HOME;24
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;4;EXPEDICIÓ DEL CERTIFICAT;DONA;2
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;4;EXPEDICIÓ DEL CERTIFICAT;HOME;5
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;4;HAN DE REPETIR;DONA;2
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;4;HAN DE REPETIR;HOME;1
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;4;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;49
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;4;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;50
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;4;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;23
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PRIVAT;SI;ESO;4;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;11
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;1;HAN DE REPETIR;DONA;7
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;1;HAN DE REPETIR;HOME;14
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;1;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;126
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;1;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;99
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;1;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;15
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;1;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;35
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;1;PROMOCIÓ AMB PENDENTS;DONA;49
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;1;PROMOCIÓ AMB PENDENTS;HOME;72
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;2;HAN DE REPETIR;DONA;15
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;2;HAN DE REPETIR;HOME;19
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;2;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;89
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;2;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;80
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;2;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;26
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;2;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;36
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;2;PROMOCIÓ AMB PENDENTS;DONA;55
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;2;PROMOCIÓ AMB PENDENTS;HOME;75
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;3;HAN DE REPETIR;DONA;18
