Comarca codi,Comarca,SSTT codi,SSTT,Municipi codi,Municipi,Districte codi,Naturalesa,Estudis,Nivell,Sexe,Promo/gradua sense pendents juny,'Avaluats',N Avaluats estudi
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,HOME,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,31
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,HOME,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,9
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,HOME,Repeteixen,Repeteixen,2
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,Promo/gradua amb pendents,Promo/gradua amb pendents,10
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,51
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,4
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,Repeteixen,Repeteixen,2
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,HOME,Promo/gradua amb pendents,Promo/gradua amb pendents,4
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,HOME,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,35
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,HOME,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,7
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,HOME,Repeteixen,Repeteixen,5
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,DONA,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,40
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,DONA,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,4
