Unnamed: 0,Población ocupada (%),Trabajadores de baja calificación (%),Población con estudios bajos (%),Población joven sin estudios postobligatorios (%),Extranjeros de países de renta baja o media (%),Renta media por persona (€)
Barcelona 124 (Sant Joan d'Horta),57.1,9.1,16.1,26.4,7.3,17542.0
Barcelona 125 (Sant Marcel i les Franceses),69.9,8.6,16.5,17.0,11.5,15816.0
Barcelona 126 (Can Cartellà),68.3,8.7,15.3,17.3,11.4,16188.0
Barcelona 127 (Virrei Amat i la Torre Llobeta),68.7,8.0,14.0,14.3,11.7,16132.0
Barcelona 128 (Can Garrigó),67.3,10.4,14.2,18.0,15.5,15400.0
Barcelona 129 (la Plaça de Sóller),69.2,10.8,16.0,15.6,14.3,15034.0
Barcelona 130 (Can Dragó),66.5,9.7,16.4,25.5,10.8,14697.0
Barcelona 131 (els Jardins d'Alfàbia),53.3,15.3,22.1,36.5,16.8,13586.0
Barcelona 132 (el Mercat de la Mercè),63.4,15.5,18.5,24.6,20.7,12316.0
Barcelona 133 (el Turó de la Peira i Can Peguera),59.7,17.1,18.3,29.4,19.7,11677.0
Barcelona 134 (el Parc Central de Nou Barris),69.9,7.3,15.6,14.3,6.1,17218.0
Barcelona 135 (la Guineueta),68.0,11.5,19.1,21.2,11.2,14403.0
Barcelona 136 (Canyelles),66.8,13.8,18.9,23.2,6.0,15365.0
Barcelona 137 (la Mina de la Ciutat),59.7,21.8,19.8,36.3,20.2,10900.0
Barcelona 138 (les Roquetes),61.4,20.2,21.2,35.2,22.1,10998.0
Barcelona 139 (la Plaça de Verdun),61.9,16.4,21.4,29.0,16.6,12234.0
Barcelona 140 (les Cases de Charlot),62.7,17.6,19.4,29.8,22.5,11706.0
Barcelona 141 (Can Borràs),67.1,14.0,18.6,27.1,18.0,13010.0
Barcelona 142 (Santa Engràcia),67.8,13.4,19.8,26.6,15.8,13440.0
Barcelona 143 (la Plaça Verda),67.7,10.4,21.3,20.1,10.5,14375.0
Barcelona 144 (la Flor de Neu),65.8,14.8,20.4,24.4,16.2,12854.0
Barcelona 145 (la Trinitat Nova),58.6,21.2,18.4,38.5,20.9,10813.0
"Barcelona 146 (Torre Baró, Ciutat Meridiana i Vallbona)",56.0,24.6,21.3,41.5,25.5,9527.0
Barcelona 147 (la Trinitat Vella),58.8,20.3,20.1,39.1,27.2,10358.0
Barcelona 148 (Baró de Viver i la Maquinista),65.9,11.4,14.3,30.8,8.9,14415.0
Barcelona 149 (el Bon Pastor),54.2,19.3,21.3,39.8,15.5,11571.0
Barcelona 150 (Can Portabella),71.8,5.7,11.4,11.7,5.3,17897.0
Barcelona 151 (Sant Andreu Vell),71.9,5.4,12.5,10.0,6.6,18915.0
Barcelona 152 (l'Andana de l'Estació i el Molí del Rec),75.1,4.2,10.8,10.1,3.3,18800.0
Barcelona 153 (les Casernes),70.2,9.4,18.4,39.2,10.6,15594.0
Barcelona 154 (Casa Bloc),69.5,8.6,14.4,19.2,7.5,16520.0
Barcelona 155 (el Mercadal),72.3,6.1,12.7,13.5,7.6,17539.0
Barcelona 156 (la Rambla de Sant Andreu),70.1,6.3,11.3,13.2,7.8,18120.0
Barcelona 157 (Can Masadas i el Camp del Ferro),69.2,7.5,11.5,14.8,11.1,16574.0
Barcelona 158 (el Pont del Treball),69.3,7.6,11.9,12.4,11.7,17174.0
Barcelona 159 (la Sagrera Alta),67.3,9.3,15.7,15.6,14.3,15384.0
Barcelona 160 (el Congrés),69.9,7.1,13.3,13.6,11.3,15810.0
Barcelona 161 (els Indians),68.3,8.7,11.9,14.2,11.7,16877.0
Barcelona 162 (Sant Joan Bosco),71.1,7.3,11.5,11.3,12.0,16955.0
Barcelona 163 (el Torrent de la Guineu),69.4,7.1,12.2,12.3,11.7,16977.0
Barcelona 164 (Trinxant),69.6,7.1,11.5,13.0,12.2,16824.0
Barcelona 165 (Can Miralletes),69.8,5.0,10.0,9.0,11.8,19075.0
Barcelona 166 (Xifré),67.6,5.9,10.7,11.8,13.8,17786.0
Barcelona 167 (Can Robacols),69.7,6.7,11.6,12.4,13.1,16955.0
Barcelona 168 (la Parròquia del Clot),69.7,6.7,10.2,9.7,11.4,17258.0
Barcelona 169 (el Clot de la Mel),69.3,6.4,11.4,12.4,8.2,17621.0
Barcelona 170 (el Mercat del Clot),68.6,6.6,9.6,12.3,13.3,17217.0
"Barcelona 171 (el Parc de la Ciutadella, Ca l'Aranyó i Ratés)",66.6,4.6,10.0,11.2,11.1,18325.0
Barcelona 172 (la Vila Olímpica i el Bogatell),65.5,1.8,4.5,6.0,7.2,25939.0
Barcelona 173 (el Taulat i la Plata),68.7,4.4,10.0,11.9,10.7,17889.0
Barcelona 174 (Can Felipa),71.0,3.5,8.6,8.9,7.6,20432.0
Barcelona 175 (els Ciutadans),70.4,5.0,10.9,11.8,9.7,18503.0
Barcelona 176 (l'Antiga Diagonal Mar),71.5,4.1,15.0,12.3,10.3,17143.0
Barcelona 177 (la Nova Diagonal Mar i el Front Marítim del Poblenou),65.5,2.5,7.2,9.0,11.1,22771.0
Barcelona 178 (el Besòs Mar),55.5,19.8,22.1,40.8,35.2,9680.0
Barcelona 179 (el Besòs),57.7,16.9,20.6,34.4,24.3,11214.0
Barcelona 180 (el Maresme i el Maresme Vell),46.7,15.8,22.9,43.9,15.8,13931.0
Barcelona 181 (Provençals i Ca l'Isidret),67.9,7.6,12.6,16.9,12.4,15990.0
Barcelona 182 (Can Ricart),68.6,5.9,11.4,14.0,8.9,17109.0
Barcelona 183 (els Porxos),68.1,6.7,15.5,15.1,10.0,16099.0
Barcelona 184 (el Pont de Bac de Roda),68.0,8.4,14.2,17.4,13.0,15533.0
Barcelona 185 (Sant Martí Vell),68.0,9.3,17.9,18.2,11.3,14896.0
Barcelona 186 (Júpiter),64.7,10.0,15.2,18.4,13.5,15361.0
Barcelona 187 (la Palmera),67.6,7.5,14.9,15.5,7.7,16116.0
Barcelona 188 (la Verneda Alta),66.0,9.4,19.2,18.0,12.3,14732.0
Barcelona 189 (la Verneda Baixa),61.9,16.4,20.5,27.7,15.4,12512.0
Barcelona 190 (la Pau),62.7,13.2,18.4,27.0,15.7,12578.0
"Berga 1 (Nucli Urbà Oest, Sud i Est - Exterior)",66.0,12.0,12.2,23.4,8.5,15946.0
Berga 2 (Nucli Urbà Centre i Nord),56.0,20.0,17.1,38.6,21.3,12418.0
Caldes de Montbui 1 (Centre-Eixample),70.0,16.1,14.1,23.2,9.9,15234.0
Caldes de Montbui 2 (Nucli Antic i Exterior),74.5,9.4,8.9,15.5,4.0,17279.0
Calella 1 (Oest),60.3,10.7,15.0,29.6,17.0,12868.0
